,PLOT_ID,REBURN,reb,reburn,EAST.WEST,needle,prop_Kba,prop_Kstem,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,meandeepchar,PlotCBI_mean,prop_lccloss,RDNBR_SINGLE,RBR,DNBR,RDNBR
28,JOLL1,NO,0,non reburn,E,5.6,1,1,0.99,0.53,0.45,0.5,2.138,1,795.7,380.6,590.8,690.5308929
29,JOLL2,NO,0,non reburn,E,2.38,0.085886881,0.333333333,0.92,0.35,0.21,0.07,1.202,0.437591598,116.6,53.3,77,124.8582651
30,JOLL3,NO,0,non reburn,E,2.85,0.238324022,0.796296296,0.84,0.26,0.31,0.05,1.643,0.49628474,270,130.2,206.3,228.063899
31,JOLL4,NO,0,non reburn,E,1.75,0.217024782,0.65217391,0.77,0.16,0.18,0,1.705,0,171.1,84.6,148.4,218.7125872
32,JOLL5,NO,0,non reburn,E,5.4,1,1,1,0.66,0.53,0,2.589,1,707.8,344.2,560.9,870.6567917
33,JOLL6,NO,0,non reburn,E,5.55,1,1,0.89,0.36,0.42,0,2.533333333,1,1048,517.9,903.2,947.9860869
34,JOLL7,NO,0,non reburn,E,5.95,1,1,0.97,0.62,0.46,0,2.71875,0.946207988,754.8,370.7,626,894.8882595
35,JOLL8,NO,0,non reburn,E,6,1,1,1,0.74,0.83,0.1,2.88,1,1143,556.7,912.4,957.5154773
36,JOLL9,NO,0,non reburn,E,4.6,1,1,1,0.66,0.51,0,2.732,1,766.8,366.1,567.3,885.9037206
37,JOLLUNB1,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-99.6,-46,-66.7,-90.55745367
38,JOLLUNB2,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,-71.9,-31.9,-43.9,-75.6216338
39,JOLLUNB3,NO,0,non reburn,E,0,0,0,0,0,0,0,0,0,32,15.8,27.7,-4.462774393
40,JONE1,NO,0,non reburn,W,6,1,1,0.93,0.1,0.16,0,2.112,1,514.2,252.8,429.4,636.9255723
41,JONE10,NO,0,non reburn,W,6,1,1,1,0.86,0.13,0,2.887,1,1103.7,546.4,963,1127.696854
42,JONE11,NO,0,non reburn,W,2.44,0.19492372,0.47826087,0.94,0.51,0.14,1.06,2.091,0.16529183,234.3,115.4,197.7,195.9133092
43,JONE2,NO,0,non reburn,W,0.55,0.359159699,0.75,0.9,0.16,0.15,0.06,1.65625,0.273782003,250.3,123.9,217.4,138.1291868
44,JONE3,NO,0,non reburn,W,6,1,1,1,1,0.27,0.06,2.614,1,835.8,412.8,716.9,853.1989014
45,JONE4,NO,0,non reburn,W,5.14,0.815691846,0.88235294,0.91,0.17,0.08,0.07,2.323,0.738082816,567.2,278.1,466.4,452.2464606
